company,city,segment,contact_name,role,email,source_url,pain_signal,recommended_plan,personalization_line,confidence,status
Beans and Dots,București,cafenea,Echipă,Contact general,hello@beansanddots.ro,https://thecafe.ro/bucharest-specialty-coffee-map/bucuresti/b/beans-and-dots/,Cafenea specialty cu desert și ceai fără POS integrat vizibil — comenzile și plățile par manuale la casă.,starter,Văd că serviți specialty coffee pe Ion Brezoianu cu desert și ceai — un POS simplu v-ar scurta tura de dimineață.,high,sent_step1
Coffee Designers,București,cafenea,Echipă,Contact magazin,contact@coffeedesigners.ro,https://coffeedesigners.ro/find-us/,Cafenea mică + prăjitorie; vânzări boabe și retail fără flux digital clar între magazin și online.,starter,Perla Building e un spațiu mic dar special — un till rapid pentru cafea la pahar și boabe ar reduce cozile la orele de vârf.,high,sent_step1
Uzina Coffee,București,cafenea,Echipă,Contact evenimente B2B,contact@uzinacoffee.ro,https://uzinacoffee.ro/contact/,Spațiu cultural cu program lung (08–23) — rezervări evenimente și comenzi bar în același loc fără sistem unificat.,pro,"Uzina combină café, live music și evenimente — centralizarea comenzilor bar + rezervări ar reduce erorile în serile aglomerate.",high,sent_step1
Arcade Cafe,București,cafenea,Echipă,Rezervări & evenimente,contact@arcadecafe.ro,https://arcadecafe.ro/contact/,"Program 10–02 cu bucătărie până 00:30 — ture lungi, rezervări și POS probabil nealiniate pe vânzări vs. evenimente private.",pro,Arcade pe Smardan 30 rulează până târziu — un POS care separă clar masa vs. eveniment privat v-ar proteja marja pe serile pline.,high,sent_step1
Cafeneaua Nației,București,cafenea,Echipă,Contact general,contact@stareanatiei.ro,https://cafeneauauanatiei.ro/contact/,"Cafenea culturală cu flux de clienți variabil (evenimente, conferințe) — greu de raportat vânzările pe tip de serviciu.",starter,Cafeneaua Nației pe Lascăr Catargiu aduce public diferit în fiecare seară — rapoarte clare pe bar vs. eveniment ar ajuta ownerul.,high,sent_step1
Madison Coffee,București,cafenea,Radu Potolea,Administrator,hello@madisoncoffee.ro,https://madisoncoffee.ro/contact/,Prăjitorie + cafenea neighborhood; B2B echipamente și retail — stocuri boabe vs. vânzări café necentralizate.,pro,Madison pe George Călinescu combină prăjitorie și retail — inventar boabe sincronizat cu vânzările din bar ar elimina rupturile.,high,sent_step1
Kestar Coffee,București,cafenea,Echipă,Contact comenzi,info@kestarcoffee.com,https://www.kestarcoffee.ro/contact,Prăjitorie online + livrări în 3 zile; fără POS fizic vizibil pentru partenerii HoReCa locali.,starter,Kestar livrează boabe din Sector 6 — un modul simplu de facturare comenzi B2B ar accelera relația cu cafenelele partenere.,high,sent_step1
Gallery Concept,București,cafenea,Echipă,RSVP & evenimente,rsvp@gallery-concept.ro,https://ganeshacaffe.ro/,Concept gallery-café cu evenimente private — ticketing și consum bar probabil în sisteme separate.,pro,Gallery Concept pare orientat spre evenimente — un singur flux POS pentru bar + închiriere spațiu ar simplifica reconcilierea.,medium,sent_step1
Rhédey Café,Cluj-Napoca,cafenea,Echipă,Contact evenimente,rhedeycafe@gmail.com,https://rhedeycafe.ro/ro/contact/,Cafenea centrală (Piața Unirii) cu cocktail-uri corporate și revelioane — rezervări email/telefon manuale.,pro,Rhédey în Piața Unirii găzduiește corporate și revelioane — POS cu avans eveniment + bar ar reduce no-show-urile.,high,sent_step1
YUME Coffee Roasters,Cluj-Napoca,cafenea,Echipă,Contact prăjitorie,info@yume.coffee,https://yume.coffee/contactus,Prăjitorie + cafenea Victor Babeș; program de vară redus — două puncte de vânzare cu stocuri separate.,pro,YUME pe Victor Babeș și prăjitoria Emil Petrovici — sincronizarea stocului între shop și online ar evita „out of stock” la orele de vârf.,high,sent_step1
Wake Cup Coffee & Bar,Cluj-Napoca,cafenea,Echipă,Contact locație,office@wake-cup.ro,https://www.wake-cup.ro/en/contact,Cafenea + bar cu rezervări WhatsApp; program sâmbătă până 00:00 — plăți și comanda bar posibil pe registru manual.,pro,Wake Cup pe Donath 100E combină bar și café — un POS care prinde tips și split bill ar ușura serile de weekend.,high,sent_step1
Planetarium Café,Cluj-Napoca,cafenea,Echipă,Contact rezervări,office@plani.ro,https://www.plani.ro/ro/contact-ro/,Program nocturn (12–03) cu rezervări doar Facebook înainte de 17:00 — risc de supra/sub-booking.,starter,Planetarium pe Piața Unirii funcționează noaptea — un POS cu rezervări integrate ar înlocui confirmările manuale de pe Facebook.,high,sent_step1
